Title,Publication Year,Cover URL
Thor (2020) #13,2021,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/60464e1695be7.jpg
Thor & Loki: Double Trouble (2021) #1,2021,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/603d2204bbb68.jpg
Thor (2020) #12,2021,http://i.annihil.us/u/prod/marvel/i/mg/6/40/6026d187e6d0b.jpg
King in Black (2020) #4,2021,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/6026d16e52b24.jpg
King in Black (2020) #3,2021,http://i.annihil.us/u/prod/marvel/i/mg/d/20/5ff8cf367e5d1.jpg
Thor (2020) #11,2021,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/5ff32d41b3331.jpg
Thor (2020) #10,2020,http://i.annihil.us/u/prod/marvel/i/mg/e/00/601afd0b1cc2b.jpg
Thor (2020) #9,2020,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/601af79a26ab4.jpg
Thor (2020) #8,2020,http://i.annihil.us/u/prod/marvel/i/mg/9/70/5f735c2820ece.jpg
Thor (2020) #7,2020,http://i.annihil.us/u/prod/marvel/i/mg/4/20/5f5943091f7b8.jpg
Fortnite X Marvel - Nexus War: Thor (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/9/40/5f46b381da8b1.jpg
Thor (2020) #6,2020,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/5f2c34257946a.jpg
Thor Epic Collection: Into The Dark Nebula (Trade Paperback),2020,http://i.annihil.us/u/prod/marvel/i/mg/4/03/5e7260085e170.jpg
Marvel Action Avengers (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/f/50/5fbbe8a6c4b08.jpg
Valkyrie: Jane Foster (2019) #9,2020,http://i.annihil.us/u/prod/marvel/i/mg/7/40/5e67d74e7e471.jpg
King Thor (Trade Paperback),2020,http://i.annihil.us/u/prod/marvel/i/mg/a/d0/5e67edbb86989.jpg
Thor Facsimile Edition (2020) #229,2020,http://i.annihil.us/u/prod/marvel/i/mg/7/00/5e5835e5073ff.jpg
Thor (2020) #4,2020,http://i.annihil.us/u/prod/marvel/i/mg/3/80/5e5835cd50309.jpg
Valkyrie: Jane Foster (2019) #8,2020,http://i.annihil.us/u/prod/marvel/i/mg/4/30/5e28a437949d5.jpg
Thor (2020) #3,2020,http://i.annihil.us/u/prod/marvel/i/mg/4/b0/5e3b35788688f.jpg
True Believers: The Criminally Insane - Absorbing Man (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/5e28c35cd7fce.jpg
Thor by Jason Aaron: The Complete Collection Vol. 2 (Trade Paperback),2020,http://i.annihil.us/u/prod/marvel/i/mg/6/90/5e28b362d927a.jpg
Marvel Masterworks: The Mighty Thor Vol. 19 (Trade Paperback),2020,http://i.annihil.us/u/prod/marvel/i/mg/4/20/6467d7ff06364.jpg
Thor (2020) #2,2020,http://i.annihil.us/u/prod/marvel/i/mg/4/70/5e28905e7597c.jpg
Marvel's Avengers: Thor (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/6/10/5e0a66402c87a.jpg
Thor Director's Cut Edition (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/5e013c8e55d10.jpg
Thor (2020) #1,2020,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/5e00da382a27d.jpg
King Thor (2019) #4,2019,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/5defb237c964e.jpg
True Believers: Annihilation - Super-Skrull (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/5df408c10b534.jpg
Thor: The Worthy (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/5ddc1316a1e5e.jpg
King Thor (2019) #3,2019,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/5dc98abb1011d.jpg
Thor Vol. 3: War's End (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/c/20/5db1d1c619cc7.jpg
King Thor (2019) #2,2019,http://i.annihil.us/u/prod/marvel/i/mg/f/80/5da4ca693ffa6.jpg
Marvel Masterworks: The Mighty Thor Vol. 18 (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/7/50/6467d7fe7049c.jpg
King Thor (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/4/20/5d72a28867a68.jpg
Thor (2018) #16,2019,http://i.annihil.us/u/prod/marvel/i/mg/c/90/5d5d4c3e97cd0.jpg
Thor Epic Collection: The Black Galaxy (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/3/00/5d5ee51130607.jpg
THOR & LOKI: BLOOD BROTHERS GALLERY EDITION HC (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/5d5432c35c2c1.jpg
Thor Of The Realms (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/5d360c1a970d1.jpg
Thor (2018) #15,2019,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/5d1bc2e968168.jpg
War Of The Realms Omega (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/5d1bc2f118f51.jpg
The Unbeatable Squirrel Girl (2015) #46,2019,http://i.annihil.us/u/prod/marvel/i/mg/c/40/5d126dc7b5ce4.jpg
Kirby Is... Mighty! King-Size (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/9/60/5d14c5d449bc5.jpg
Thor (2018) #14,2019,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/5d08f373e179b.jpg
Thor Vol. 2: Road To War Of The Realms (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/5d016bb74e17a.jpg
War of the Realms (2019) #5,2019,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/5cf18c1a3992f.jpg
Marvel Action Classics: Spider-Man Two-in-One (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/5dee7fdfb472c.jpg
Thor (2018) #13,2019,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/5ce403265e78e.jpg
Moon Girl and Devil Dinosaur (2015) #43,2019,http://i.annihil.us/u/prod/marvel/i/mg/7/10/5cd9c9755b372.jpg
Decades: Marvel in The '80s - Awesome Evolutions (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/9/10/5cca0c3564e55.jpg
War of the Realms (2019) #3,2019,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/5cc2096883e3d.jpg
The Art of War of the Realms (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/5cc1b32fc6901.jpg
Mighty Thor 3D (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/5cb897b5ad2a8.jpg
Thor (2018) #12,2019,http://i.annihil.us/u/prod/marvel/i/mg/2/10/5cacf425bade7.jpg
Thor by Kieron Gillen: The Complete Collection (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/2/70/5cacccae9709e.jpg
True Believers: Avengers - Stormbreaker (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/e/40/5ca3ba1bb47c1.jpg
Avengers Epic Collection: Fear The Reaper (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/5ca39e6cdc848.jpg
War of the Realms (2019) #1,2019,http://i.annihil.us/u/prod/marvel/i/mg/f/10/5c9bfb02a9cb4.jpg
Avengers Assemble: Living Legends (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/9/70/5c9d282e752aa.jpg
Thor (2018) #11,2019,http://i.annihil.us/u/prod/marvel/i/mg/9/80/5c881a44ac87b.jpg
War Of The Realms Prelude (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/0/04/5c7edc63f3f9c.jpg
Marvel Tales: Thor (Trade Paperback),2019,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/5c802c3edff01.jpg
Thor (2018) #10,2019,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/5c5c58822376d.jpg
Thor (2018) #9,2019,http://i.annihil.us/u/prod/marvel/i/mg/9/40/5c2f6b164ea37.jpg
Thor Vol. 1: God of Thunder Reborn (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/5c12eb602b9c6.jpg
Thor (2018) #8,2018,http://i.annihil.us/u/prod/marvel/i/mg/6/50/5c12b4e9393c3.jpg
Avengers (2018) #11,2018,http://i.annihil.us/u/prod/marvel/i/mg/6/50/5c083b7261c9c.jpg
Mighty Thor Vol. 5: The Death of the Mighty Thor (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/5bf4913d84581.jpg
Marvel Masterworks: The Mighty Thor Vol. 17 (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/9/60/6467d7e600dca.jpg
Thor (2018) #7,2018,http://i.annihil.us/u/prod/marvel/i/mg/5/30/5be370a010e32.jpg
Marvel Super Hero Adventures: Captain Marvel - Mealtime Mayhem (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/5bdb6980a4113.jpg
Marvel Adventures: Super Heroes (2019) #2,2018,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5c37922ab474b.jpg
What If? Thor (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/a/80/5bc8ff549f926.jpg
Thor (2018) #6,2018,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/5bbe666ad5a96.jpg
Mighty Thor Vol. 4: The War Thor (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/c/30/5b9c3b7d4d6a0.jpg
Thor (2018) #5,2018,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/5b999ac4ccc5a.jpg
Avengers (2018) #6,2018,http://i.annihil.us/u/prod/marvel/i/mg/7/90/5b748e48ef477.jpg
Fantastic Four: The World's Greatest Comics Magazine (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/5/00/6489f5f5669f3.jpg
Thor (2018) #4,2018,http://i.annihil.us/u/prod/marvel/i/mg/9/70/5b6c82d424cb9.jpg
Marvel Legacy (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5b4cf78f42118.jpg
Thor (2018) #3,2018,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/5b4672dd3f19e.jpg
Thor by Walter Simonson Vol. 4 (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5b43d459e11d4.jpg
Generations (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/5b352f4de5fd6.jpg
Avengers (2018) #4,2018,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5b3408c32920e.jpg
Thor (2018) #2,2018,http://i.annihil.us/u/prod/marvel/i/mg/8/70/5b2c17100e1ef.jpg
Thor Epic Collection: Worldengine (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/9/80/5b184fab790b8.jpg
Mighty Thor Vol. 5: The Death of The Mighty Thor (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/9/50/5b184fb390ae6.jpg
Thor (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/6/20/5b17070d826eb.jpg
Wolverine: The Amazing Immortal Man and Other Bloody Tales (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/f/03/5b05d85992454.jpg
Avengers (2018) #2,2018,http://i.annihil.us/u/prod/marvel/i/mg/9/f0/5af369f557bc4.jpg
